"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（農藥殘留）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1030124,ORG3040001,"台灣有機黑豆","許哲榮（鴻旗有機休閒農場）","屏東縣高樹鄉泰山村產業路號",ZHCERT,ND,"天然有機生活館臺南市勝利路號",
2,1030124,ORG3040002,"百奧維他有機葡萄汁","佰研生化科技股份有限公司","臺北市南港區園區街號之",bio,ND,"天然有機生活館臺南市勝利路號",
3,1030124,ORG3040003,"有機德國酸菜","佰研生化科技股份有限公司","臺北市南港區園區街號之",OCIA,ND,"天然有機生活館臺南市勝利路號",
4,1030124,ORG3040004,"南非國寶有機路易博士茶","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,ND,"天然有機生活館臺南市勝利路號",
5,1030124,ORG3040005,"有機黑木耳膠原飲","歐典食品工廠（股）公司","彰化縣埤頭鄉工業區興工路號",NCKU,ND,"天然有機生活館臺南市勝利路號",
6,1030124,ORG3040006,"肯寶有機大紅棗","葆祥實業有限公司","新北市鶯歌區中正三路巷號",TOC,ND,"天然有機生活館臺南市勝利路號",
7,1030120,ORG3060001,"草珠兒有機紅薏仁","薏珠顏農產加工廠","南投縣草屯鎮北勢里玉屏巷之號",ZHCERT,ND,"統健實業股份有限公司宜蘭中山門市宜蘭縣宜蘭市中山路段號樓",
8,1030120,ORG3060002,"有機酵素黑木耳露","久甘露企業社","臺南市北區成德里育德路巷號樓","采園生態驗證公司",ND,"統健實業股份有限公司宜蘭中山門市宜蘭縣宜蘭市中山路段號樓",
9,1030122,ORG3100001,"有機超大紅棗（內附有機枸杞）","有幾園生物科技股份有限公司","臺中市梧棲區港埠路段號",TOC,ND,"青山有機生活館彰化市東民街號",
10,1030122,ORG3100002,"義大利有機蕃茄濃汁","智慧有機體股份有限公司","臺北市南京東路段號","CCPB srl",ND,"青山有機生活館彰化市東民街號",
11,1030122,ORG3100003,"純有機糙米","嘉義縣太保市農會有機米產銷班","嘉義縣太保市太保里號",TOC,ND,"青山有機生活館彰化市東民街號",
12,1030122,ORG3100004,"有機廚坊有機黑豆五穀麵","三風食品工業股份有限公司","臺中市大雅區民富街號",UCS,ND,"青山有機生活館彰化市東民街號",
13,1030113,ORG3110001,"喜又美有機甘蔗糖蜜","裕國冷凍冷藏股份有限公司","南投市南崗工業區工業北路號",TOC,ND,"裕國冷凍冷藏股份有限公司南投市南崗工業區工業北路號",
"備註有機農產品依規定農藥殘留為不得檢出，月市售有機農糧產品及有機農糧加工品共抽檢件，檢驗結果均合格。表示未檢出。",,,,,,,,,
