"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（添加物）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1021211,ORG2030395,"頂客坊有機覆盆子水果抹醬","保灃國際（股）公司","臺北市中山區中山北路段巷號",QAI,"合格","統健實業（股）公司豐原門市臺中市豐原區圓環東路號樓",
2,1021211,ORG2030396,"歐特有機特級冷壓橄欖油","正原有機國際有限公司","新北市板橋區信義路巷號",CCPB,"合格","統健實業（股）公司豐原門市臺中市豐原區圓環東路號樓",
3,1021226,ORG2040190,"松鼎有機黃金亞麻仁籽粉","松鼎實業股份有限公司","雲林縣虎尾鎮西屯里號",FSII,"合格","家福股份有限公司臺南市新營區健康路號",
4,1021211,ORG2100111,"義大利有機冷壓葵花油","統一生機開發股份有限公司","桃園縣中壢市定寧路號",BioAgriCert,"合格","勝紘商行彰化縣鹿港鎮菜園路號",
5,1021211,ORG2100121,"萊瑞有機初榨特級純橄欖油","宏常有限公司","臺北市長春路號樓","SERVICIO DE CERTIFICACION CAAE","合格","湘田有機生活館彰化縣鹿港鎮成功路號",
6,1021211,ORG2100122,"蘿曼利有機橄欖油","宏常有限公司","臺北市長春路號樓","CONSELL CATALA DE LA PRODUCCIO AGRARIA ECOLOGICA","合格","湘田有機生活館彰化縣鹿港鎮成功路號",
7,1021223,ORG2130096,"有機糙米麩（無糖）","圓滿生機食品工廠","嘉義縣民雄鄉文隆村鄰鴨母號",TOC,"合格","嘉義縣民雄鄉文隆村鄰鴨母號",
8,1021202,ORG2190051,"有機糙米粉","元豪食品有限公司","臺中市大仁街號",COAA,"合格","無毒的家新竹東大店新竹市東區東大路段號",
"備註有機農產品依規定添加物為不得檢出，月市售有機農糧產品及有機農糧加工品共抽檢件送食品工業研究所檢驗，檢驗結果均合格。",,,,,,,,,
