"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（添加物）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1020905,ORG2010306,"克羅多有機初榨冷壓橄欖油","廣博實業股份有限公司","臺北市南港區園區街號樓之","BIOAGRICERT S.R.L","合格","棉花田生機園地股份有限公司府中門市新北市板橋區文化路段號樓",
2,1020923,ORG2010329,"有機香醇黑糖","擁潔股份有限公司","臺北市西園路段號",UCS,"合格","綠色大帝股份有限公司海山分公司新北市板橋區民族里漢生東路號",
3,1020923,ORG2010330,"有機薄鹽醬油","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","綠色大帝股份有限公司海山分公司新北市板橋區民族里漢生東路號",
4,1020924,ORG2010333,"有機烏龍茶","棋著有限公司","臺中市南屯區公益路段號",NCKU,"合格","里仁事業股份有限公司新北市中和區漢民路號樓",
5,1020924,ORG2010334,"有機綜合蔬果汁","統盛股份有限公司","臺北市中山區南京東路一段巷號之",TOC,"合格","里仁事業股份有限公司新北市中和區漢民路號樓",
6,1020927,ORG2010335,"有機五穀雜糧片","擁潔股份有限公司","臺北市西園路段號",UCS,"合格","綠色大帝股份有限公司江子翠分公司新北市板橋區松翠里松柏街號樓",
7,1020927,ORG2010337,"有機豆奶","羅東鎮農會食品工廠","羅東鎮倉前路號",MOA,"合格","綠色大帝股份有限公司江子翠分公司新北市板橋區松翠里松柏街號樓",
8,1020927,ORG2010338,"有機糙米奶","羅東鎮農會食品工廠","羅東鎮倉前路號",MOA,"合格","綠色大帝股份有限公司江子翠分公司新北市板橋區松翠里松柏街號樓",
9,1020927,ORG2010339,"有機黑木耳飲","宜蘭縣冬山鄉農會","宜蘭縣冬山鄉永興路段號",MOA,"合格","綠色大帝股份有限公司江子翠分公司新北市板橋區松翠里松柏街號樓",
10,1020927,ORG2010340,"有機石榴汁","味榮食品股份有限公司","臺中市豐原區西勢路號",UCS,"合格","綠色大帝股份有限公司江子翠分公司新北市板橋區松翠里松柏街號樓",
11,1020912,ORG2020545,"有機硬糖紅石榴","聖源國際貿易有限公司","新北市林口區南勢街號樓之",QAI,"合格","太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
12,1020912,ORG2020550,"蘇菲有機希臘紅酒甜醋","汎岳國際有限公司","臺中市南屯區大墩路號","未標示","合格","太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
