"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（添加物）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1021115,ORG2010398,"有機五果燕麥片","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","合格","柑仔店板新課",
2,1021115,ORG2010399,"有機燕麥片薄片","智慧有機體股份有限公司","臺北市南京東路段號","BCS OkO-Garantie GMBH","合格","柑仔店板新課",
3,1021115,ORG2010400,"西班牙莎蘿瑪百年橄欖莊園有機初榨冷壓橄欖油","智慧有機體股份有限公司","臺北市南京東路段號","Servicio de certificacion CAAE","合格","柑仔店板新課",
4,1021118,ORG2010401,"有機亞麻仁子壓碎片","智慧有機體股份有限公司","臺北市南京東路段號","BCS Oko-Garantie GmbH","合格","柑仔店板新課",
5,1021118,ORG2010402,"頂客坊有機杏桃水果抹醬","保灃國際股份有限公司","臺北市中山區中山北路段巷號樓",QAI,"合格","柑仔店板新課",
6,1021118,ORG2010403,"好鮮有機紅葡萄汁","清淨生活有限公司","屏東縣潮州鎮新生路號","LACON GmbH","合格","柑仔店板新課",
7,1021118,ORG2010404,"有機即食綜合穀麥片","柑仔店股份有限公司","新竹市光復路段號",TOC,"合格","柑仔店板新課",
8,1021118,ORG2010405,"有機紅棗乾","柑仔店股份有限公司","新竹市光復路段號",TOC,"合格","柑仔店板新課",
9,1021119,ORG2010406,"銀川有機糙米粉","青田農產有限公司","花蓮縣富里鄉和平街號",TOC,"合格","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
10,1021119,ORG2010407,"純麥有機白醬油","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","統健實業股份有限公司新莊中和新北市新莊區中和街巷號",
11,1021128,ORG2010428,"香菇有機醬油","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
12,1021128,ORG2010429,"有機香菇醬油膏","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
13,1021128,ORG2010430,"有機乾豆豉","喜樂愛之泉有限公司","臺中市北區文祥街號",TOC,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
14,1021128,ORG2010431,"有機黑豆減鹽蔭油露","味榮食品工業股份有限公司","臺中市豐原區西勢路號",UCS,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
15,1021128,ORG2010432,"有機黑豆蔭油膏","味榮食品工業股份有限公司","臺中市豐原區西勢路號",UCS,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
16,1021129,ORG2010433,"有機黑芝麻","展康國際有機股份公司","臺中市豐原區西勢路號",UCS,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
17,1021129,ORG2010446,"瑞雀有機椰蓉","瑞雀企業有限公司","高雄市楠梓區後昌路號",GOA,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
18,1021129,ORG2010447,"瑞雀有機椰子粉","瑞雀企業有限公司","高雄市楠梓區後昌路號",GOA,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
19,1021129,ORG2010448,"有機彩虹高原印加麥","擁潔股份有限公司","臺北市西園路段號",UCS,"合格","綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
20,1021120,ORG2030349,"川永祖母綠有機吸⽁凍","豐喜食品股份有限公司","雲林縣斗六市工業路號",TOC,"合格","里仁事業股份有限公司東勢分公司臺中市東勢區中山路號",
21,1021127,ORG2030375,"喜又美有機甘蔗糖蜜","裕國冷凍冷藏股份有限公司","南投市南崗工業區工業北路號",TOC,"合格","里仁事業股份有限公司臺中市太平區宜昌路號",
22,1021127,ORG2030376,"有機湯圓","餐御宴食品有限公司","臺中市大甲區日南里幼獅路號",TOC,"合格","里仁事業股份有限公司臺中市太平區宜昌路號",
23,1021127,ORG2030377,"有機酸高麗菜","聖朝食品股份有限公司","臺中市神岡區中山路號",TOC,"合格","里仁事業股份有限公司臺中市太平區宜昌路號",
24,1021127,ORG2030378,"有機冷壓南瓜籽油","青荷國際有限公司","桃園市建國路號樓","BIO.INSPECTA AG","合格","里仁事業股份有限公司臺中市太平區宜昌路號",
25,1021127,ORG2030385,"有機初榨椰子油","馬來西亞商科士威有限公司台灣分公司","臺中市西區大隆路號樓之",NASAA,"合格","科士威太平宜昌美妝店臺中市太平區宜昌路號",
26,1021127,ORG2030386,"有機枸杞飲品","佳潤健康有限公司","新北市新莊區中正路號樓","Organic Certifiers","合格","科士威太平宜昌美妝店臺中市太平區宜昌路號",
27,1021115,ORG2040171,"有機茶佳葉龍茶無糖","茗源食品工業股份有限公司","雲林縣斗六市復興路號",NCKU,"合格","健康奇跡農產運銷有限公司臺南市仁德區仁愛里仁愛號",
28,1021115,ORG2040172,"味榮活力元氣有機五穀味噌","味榮食品工業股份有限公司","臺中市豐原區西勢路號",UCS,"合格","健康奇跡農產運銷有限公司臺南市仁德區仁愛里仁愛號",
29,1021121,ORG2040177,"有機豆奶","統盛國際股份有限公司","臺北市南京東路段巷號",TOC,"合格","臺南市中西區西門路段號",
30,1021121,ORG2040178,"有機紅妍蔘棗茶","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","臺南市中西區西門路段號",
31,1021121,ORG2040179,"有機芝麻黑穀奶","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","臺南市中西區西門路段號",
32,1021111,ORG2050283,"有機燕麥穀粉","禾園生物科技有限公司","嘉義縣竹崎鄉紫雲村鹿寮堀號",TOC,"合格","全聯實業股份有限公司高雄市阿蓮區民族路巷號",
33,1021111,ORG2050284,"紅布朗有機高纖燕麥奶","憶霖企業股份有限公司","雲林縣斗六市斗工二路號",NCKU,"合格","松青商業股份有限公司漢神營業所高雄市左營區博愛二路號",
34,1021106,ORG2070196,"有機石榴汁","味榮食品工業股份有限公司","臺中市豐原區西勢路號",UCS,"合格","鄉情有機商行桃園縣中壢市中北路段號",
35,1021106,ORG2070197,"有機蕃茄醬","香港商香港弘景企業有限公司台灣分公司","臺南市新市區港漧里興業路號",TOC,"合格","鄉情有機商行桃園縣中壢市中北路段號",
36,1021106,ORG2070199,"歐芙有機檸檬汁","有幾園生物科技（股）公司","臺中市梧棲區港埠路段號","BioAgriCert S.r.l.","合格","鄉情有機商行桃園縣中壢市中北路段號",
37,1021106,ORG2070201,"有機甜菜汁","擁潔股份有限公司","臺北市西園路段號","Ecocert Deutschland GmbH","合格","鄉情有機商行桃園縣中壢市中北路段號",
38,1021118,ORG2080044,"有機漢方養氣茶","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","柑仔店股份有限公司竹北店新竹縣竹北市縣政二路號",
39,1021118,ORG2080045,"有機味噌","十全特好食品股份有限公司","新竹縣竹北市鳳岡路三段號",TOC,"合格","柑仔店股份有限公司竹北店新竹縣竹北市縣政二路號",
40,1021118,ORG2080046,"有機紅妍蔘棗茶","簡單生活開發有限公司","新竹縣竹北市成功六街號",TOC,"合格","柑仔店股份有限公司竹北店新竹縣竹北市縣政二路號",
