"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（農藥殘留）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1020905,ORG2010307,"有機糙米","天賜糧源股份有限公司","花蓮縣富里鄉石牌村中興路號",COAA,ND,"棉花田生機園地股份有限公司府中門市新北市板橋區文化路段號樓",
2,1020924,ORG2010331,"銀川有機在來白米","花蓮縣富里鄉有機米產銷班第二班","花蓮縣富里鄉富里村公埔路二段號",TOAF,ND,"里仁事業股份有限公司新北市中和區漢民路號樓",
3,1020924,ORG2010332,"有機稻鴨益全香米","宜蘭縣三星鄉有機米產銷班第一班陳文連","宜蘭縣三星鄉大洲二路號",HOA,ND,"里仁事業股份有限公司新北市中和區漢民路號樓",
4,1020912,ORG2020538,"有機阿拉卡比摩卡咖啡豆","雅誼有限公司","臺北市信義路段號","CCPB srl",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
5,1020912,ORG2020552,"義大利有機全麥斜管麵","一語堂國際貿易有限公司","新北市林口區工九路號","CCPB srl",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
6,1020912,ORG2020557,"義大利有機綜合豆","一語堂國際貿易有限公司","新北市林口區工九路號","CCPB srl",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
7,1020912,ORG2020560,"有機綜合蔬菜湯","宏常有限公司","臺北市長春路號樓","SERVICIO DE CERTIFICACION CAAE",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
8,1020912,ORG2020564,"波畢爾有機法式芥茉醬","一語堂國際貿易有限公司","新北市林口區工九路號","BioAgriCert ",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
9,1020912,ORG2020565,"義大利有機青碗豆","一語堂國際貿易有限公司","新北市林口區工九路號","CCPB srl",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
10,1020912,ORG2020567,"有機義式甜椒醬","雅誼有限公司","臺北市信義路段號","CCPB srl",ND,"太平洋鮮活股份有限公司忠孝營業所臺北市大安區仁愛路段巷號地下層",
11,1020910,ORG2030220,"有機廚坊有機綠茶油⽁切","茗源食品工業股份有限公司","雲林縣斗六市復興路號",NCKU,ND,"大麥屋直營門市豐原旗艦店臺中市豐原區三豐路號",
12,1020910,ORG2030221,"有機巧克力焦糖海口味","馥聚有限公司","新北市汐止區汐止區康寧街巷號樓","Oregon Tilth Certified Organic",ND,"大麥屋直營門市豐原旗艦店臺中市豐原區三豐路號",
13,1020910,ORG2030222,"有機石榴汁","味榮食品工業股份有限公司","臺中市豐原區三村里西勢路號",UCS,ND,"大麥屋直營門市豐原旗艦店臺中市豐原區三豐路號",
14,1020910,ORG2030223,"有機十穀麵","味榮食品工業股份有限公司","臺中市豐原區三村里西勢路號",UCS,"陶斯松","大麥屋直營門市豐原旗艦店臺中市豐原區三豐路號",
15,1020914,ORG2030228,"有機轉型期青江菜散裝","溫邑章溫家咖啡農場","嘉義縣梅山鄉梅東村中學路號",TOC,ND,"中興大學農夫市集溫家咖啡農場",
16,1020914,ORG2030229,"有機小白菜","信勢有機網室蔬園吳文兵","新竹縣湖口鄉信勢村鄰新湖路號",MOA,ND,"中興大學農夫市集信勢有機農場",
17,1020914,ORG2030230,"有機玉米散裝","玉堂有機農場","雲林縣西螺鎮農西路號",TOAF,ND,"中興大學農夫市集玉堂有機農場",
18,1020914,ORG2030231,"有機小黃瓜散裝","晴晨有機農場","苗栗縣三灣鄉北埔村下林坪之號",NCHU,ND,"中興大學農夫市集晴晨農場",
19,1020925,ORG2030235,"有機綜合穀物精","金格食品股份有限公司","臺北市中華路段號","Austria Bio Garantie Gmbh",ND,"親子購物網（異網資訊股份有限公司）臺中市南屯區大墩路號樓",
20,1020925,ORG2030236,"紐西蘭有機富士蘋果","觀展物流事業（股）公司","臺中市西屯區工業二路之號","中華驗證有限公司",ND,"觀展物流事業（股）公司臺中市西屯區工業二路之號",
21,1020926,ORG2040118,"有機綠豆","有機園生物科技（股）公司","臺中市梧棲區港埠路一段號",TOC,ND,"中台商行臺南市善化區仁愛路號",
22,1020926,ORG2040119,"有機可可粉","元氣工坊生機事業有限公司","臺南市永康區大灣路號",COAA,ND,"中台商行臺南市善化區仁愛路號",
23,1020926,ORG2040120,"有機純味黑糖","有機園生物科技（股）公司","臺中市梧棲區港埠路一段號",TOC,ND,"中台商行臺南市善化區仁愛路號",
24,1020902,ORG2050225,"有機米精","佳格食品股份有限公司","桃園縣大園鄉溪海村崙頂號",MOA,ND,"丁丁藥局新富店高雄市鳳山區新富路號",
25,1020902,ORG2050226,"有機胚芽米精","鈺統食品股份有限公司","臺北市中山區龍江路巷號",TOC,ND,"丁丁藥局新富店高雄市鳳山區新富路號",
26,1020930,ORG2050239,"有機綠豆","綠指南貿易有限公司","新北市板橋區信義路巷號樓",FSII,ND,"台灣家樂福股份有限公司高雄市楠梓區藍田路號",
27,1020930,ORG2050240,"有機紅豆","綠指南貿易有限公司","新北市板橋區信義路巷號樓",FSII,ND,"台灣家樂福股份有限公司高雄市楠梓區藍田路號",
