"年月份市售有機農糧產品及有機農糧加工品品質檢驗結果月報表（農藥殘留）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1021002,ORG2010344,"有機三寶米","民豐有機農場","宜蘭縣礁溪鄉吳沙村四結路號",TOAF,ND,"里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
2,1021002,ORG2010345,"東豐有機米","花蓮縣玉里鎮稻米產銷班第一班","花蓮縣玉里鎮東豐里棣芬號",TOC,ND,"里仁事業股份有限公司板橋中正分公司新北市板橋區中正路號樓",
3,1021007,ORG2010349,"鴨間稻有機白米","泉順食品企業股份有限公司","苗栗縣苑裡鎮玉田里號",TOC,ND,"特力屋股份有限公司臺北縣土城市青雲路號樓",
4,1021008,ORG2010353,"有機冷壓初榨橄欖油","泰宗生物科技股份有限公司","臺北市基湖路巷號","Prufverein Verarbeitung okologische Landbauprodukte e.V.",ND,"綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
5,1021008,ORG2010354,"有機去皮蕃茄","泰宗生物科技股份有限公司","臺北市基湖路巷號","Prufverein Verarbeitung okologische Landbauprodukte e.V.",ND,"綠色大帝股份有限公司新北市板橋區民族里漢生東路號",
6,1021022,ORG2010357,"有機純蘋果汁","簡單生活開發有限公司","新竹縣竹北市成功六街號",QCS,ND,"里仁事業股份有限公司新北市新莊區新泰路號",
7,1021022,ORG2010358,"德國有機蕃茄醬","苗林食品有限公司","臺北市松江路巷號","Lacon GmbH",ND,"里仁事業股份有限公司新北市新莊區新泰路號",
8,1021024,ORG2010359,"有機德國全麥麵粉","擁潔股份有限公司","臺北市西園路段號",UCS,ND,"綠色大帝股份有限公司永中分公司新北市永和區中和路號",
9,1021024,ORG2010360,"有機四喜什錦麥片","擁潔股份有限公司","臺北市西園路段號",UCS,ND,"綠色大帝股份有限公司永中分公司新北市永和區中和路號",
10,1021024,ORG2010361,"德國維可有機西洋梨果汁","泰宗生物科技股份有限公司","臺北市基湖路巷號","Prufverein Verarbeitung",ND,"綠色大帝股份有限公司永中分公司新北市永和區中和路號",
11,1021024,ORG2010362,"有機純蔓越莓果汁","簡單生活開發有限公司","新竹縣竹北市成功六街號",QCS,ND,"永和永貞店新北市中和區永貞路號",
