"年月份田間有機農糧產品品質檢驗結果月報表（農藥殘留）",,,,,,,,,
"序號","抽檢日期","抽檢編號","樣品名稱","農產品經營業者（進口業者）","農產品經營業者（進口業者）地址","有機農產品驗證機構","檢出藥劑","採樣地點","備註"
1,1021101,ORG2010371,廣島,"蘇興李","新北市三峽區添福里添福號",FOA,ND,"新北市三峽區添福里添福號",
2,1021101,ORG2010372,"地瓜葉","張國良","新北市淡水區大信街巷弄號",HOA,ND,"新北市淡水區大信街巷弄號",
3,1021114,ORG2010396,"小松菜","陳金智","新北市鶯歌區中正三路巷之號",FOA,ND,"新北市鶯歌區中正三路巷之號",
4,1021114,ORG2010397,"青江菜","游文揚","新北市鶯歌區中湖街巷號",FOA,ND,"新北市鶯歌區中湖街巷號",
5,1021120,ORG2030334,"有機高麗菜","小瓢蟲農場","臺中市東勢區東蘭路號",MOA,ND,"小瓢蟲農場臺中市東勢區東蘭路號",
6,1021120,ORG2030335,"有機芥菜","小瓢蟲農場","臺中市東勢區東蘭路號",MOA,ND,"小瓢蟲農場臺中市東勢區東蘭路號",
7,1021104,ORG2040167,"木瓜","許玉鈴（農裕生物科技農場）","臺南市玉井區沙田村號",MOA,ND,"臺南市玉井區沙田村號",
8,1021104,ORG2040168,"芭樂","許玉鈴（農裕生物科技農場）","臺南市玉井區沙田村號",MOA,ND,"臺南市玉井區沙田村號",
9,1021115,ORG2040169,"京都水菜","巨農有機農場","臺南市仁德區仁愛里仁愛號",TOC,ND,"臺南市仁德區仁愛里仁愛號",
10,1021115,ORG2040170,"白蘿蔔","巨農有機農場","臺南市仁德區仁愛里仁愛號",TOC,ND,"臺南市仁德區仁愛里仁愛號",
11,1021126,ORG2050429,"香蕉","李文禎（小農夫農園）","高雄市大樹區中興北路號",HOA,ND,"大樹區大庄段",
12,1021126,ORG2050430,"木瓜","李進財（長春農場）","高雄市大樹區長春路新春巷號",UCS,ND,"大樹區保安段、地號",
13,1021126,ORG2050431,"山藥","馬正忠（有福有機農場）","高雄市美濃區吉洋里精忠新村號",HOA,ND,"美濃區新吉洋段、地號",
14,1021126,ORG2050432,"百香果","謝武勳","高雄市美濃區龍山里龍山街號",UCS,ND,"美濃區中壇段地號",
15,1021126,ORG2070206,"小松菜","陳志堅","桃園縣大溪鎮康莊路段巷",FOA,ND,"陳志堅桃園縣大溪鎮康莊路段巷",
16,1021107,ORG2090109,"有機轉型期芭蕉","謝明政","苗栗縣頭屋鄉明德村鄰仁隆號",UCS,ND,"苗栗縣頭屋鄉仁隆段號",
17,1021108,ORG2090110,"有機轉型期杭菊","韓順雄","苗栗縣銅鑼鄉九湖村號",FSII,ND,"苗栗縣銅鑼鄉九湖村號",
18,1021115,ORG2090111,"有機轉型期小黃瓜","曾暐迪","苗栗縣造橋鄉長安新村號",FSII,ND,"苗栗縣造橋鄉長安新村號",
19,1021113,ORG2100100,"稻榖（水稻）","賴惠約","彰化縣大村鄉貢旗村貢旗二巷號",TOPA,ND,"彰化縣大村鄉貢旗段號",
20,1021105,ORG2150095,"茄子","財團法人天主教會花蓮教區附設聖母農莊","臺東市知本路段號",UCS,ND,"臺東市知本段號",
21,1021105,ORG2150096,"白菜","財團法人天主教會花蓮教區附設聖母農莊","臺東市知本路段號",UCS,ND,"臺東市知本段號",
22,1021105,ORG2150097,"赤道櫻草","劉欣鳳","臺東縣卑南鄉泰安村鄰之號",MOA,ND,"臺東縣卑南鄉泰安村鄰之號",
23,1021105,ORG2150098,"柳丁","劉欣鳳","臺東縣卑南鄉泰安村鄰之號",MOA,ND,"臺東縣卑南鄉泰安村鄰之號",
24,1021105,ORG2160078,"黃豆","蘇秀蓮","花蓮縣鳳林鎮山興里山明路號",TOC,ND,"花蓮縣光復鄉大同村佛祖街巷號",
25,1021105,ORG2160079,"敏豆","江玉寶","花蓮縣壽豐鄉豐裡村民族街號",NCKU,ND,"花蓮縣壽豐鄉豐裡段號",
26,1021105,ORG2160080,"地瓜葉","李家豐","花蓮縣壽豐鄉豐裡村中山路號",MOA,ND,"花蓮縣壽豐鄉豐裡段",
27,1021105,ORG2160081,"玉米","陳金榮","花蓮縣吉安鄉福興村福興六街號",TOC,ND,"花蓮縣壽豐鄉路內段",
28,1021105,ORG2160082,"龍鬚菜","陳金榮","花蓮縣吉安鄉福興村福興六街號",TOC,ND,"花蓮縣壽豐鄉路內段",
29,1021106,ORG2160083,"香蕉","彭宇閎","花蓮市中山路段巷弄號",TOC,ND,"花蓮市中山路段巷弄號",
30,1021106,ORG2160084,"甜菜心","廖中豪","花蓮縣花蓮市中正路巷弄之號",TOC,ND,"花蓮縣吉安鄉明仁三街號對面",
31,1021106,ORG2160086,"杏鮑菇","吳厚德","花蓮縣吉安鄉慶豐村鄰中山路段號",HOA,ND,"花蓮縣吉安鄉慶豐村鄰中山路段號",
32,1021106,ORG2160087,"蜜柚","胡長旺","花蓮縣吉安鄉吉安村吉興路段號",TOC,ND,"花蓮縣吉安鄉吉安村慶西四路號",
33,1021106,ORG2160088,"佛手瓜","黃天慶","花蓮市稻香村廣豐三街號",NCHU,ND,"花蓮市稻香村廣豐三街號",
34,1021112,ORG2170005,"黑葉白菜（有機轉型期）","有限責任澎湖縣農特作物生產加工運銷合作社","澎湖縣湖西鄉南寮村之號",UCS,ND,"澎湖縣湖西鄉南寮村之號",
"備註有機農產品依規定農藥殘留為不得檢出，月田間有機農糧產品共抽檢件，檢驗結果均合格。表示未檢出。",,,,,,,,,
